entrez_id,probe_name,gene_id,gene_symbol,gene_name,entrez_id,chromosome
1,A_23_P38816,2,A1BG,alpha-1-B glycoprotein,1.0,19
2,A_23_P116898,3,A2M,alpha-2-macroglobulin,2.0,12
9,CUST_16582_PI416261804,6,NAT1,N-acetyltransferase 1 (arylamine N-acetyltransferase),9.0,8
10,A_23_P31798,7,NAT2,N-acetyltransferase 2 (arylamine N-acetyltransferase),10.0,8
12,A_23_P162918,9,SERPINA3,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3",12.0,14
13,A_23_P80570,10,AADAC,arylacetamide deacetylase (esterase),13.0,3
14,A_23_P56529,11,AAMP,"angio-associated, migratory cell protein",14.0,2
15,A_23_P152527,12,AANAT,aralkylamine N-acetyltransferase,15.0,17
16,A_24_P172990,13,AARS,alanyl-tRNA synthetase,16.0,16
18,A_23_P152505,15,ABAT,4-aminobutyrate aminotransferase,18.0,16
19,A_24_P235429,16,ABCA1,"ATP-binding cassette, sub-family A (ABC1), member 1",19.0,9
20,A_23_P43504,17,ABCA2,"ATP-binding cassette, sub-family A (ABC1), member 2",20.0,9
21,A_23_P140876,18,ABCA3,"ATP-binding cassette, sub-family A (ABC1), member 3",21.0,16
22,A_23_P171258,19,ABCB7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",22.0,X
23,A_23_P251660,20,ABCF1,"ATP-binding cassette, sub-family F (GCN20), member 1",23.0,6
24,A_23_P160940,21,ABCA4,"ATP-binding cassette, sub-family A (ABC1), member 4",24.0,1
25,A_23_P60180,22,ABL1,"c-abl oncogene 1, non-receptor tyrosine kinase",25.0,9
26,A_23_P59452,23,ABP1,amiloride binding protein 1 (amine oxidase (copper-containing)),26.0,7
27,A_32_P139894,24,ABL2,v-abl Abelson murine leukemia viral oncogene homolog 2,27.0,1
28,CUST_15272_PI416261804,25,ABO,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",28.0,9
29,A_23_P503182,26,ABR,active BCR-related,29.0,17
30,A_23_P69339,27,ACAA1,acetyl-CoA acyltransferase 1,30.0,3
31,A_32_P65157,28,ACACA,acetyl-CoA carboxylase alpha,31.0,17
32,CUST_13289_PI416261804,29,ACACB,acetyl-CoA carboxylase beta,32.0,12
33,CUST_10623_PI416261804,30,ACADL,"acyl-CoA dehydrogenase, long chain",33.0,2
34,CUST_16057_PI416261804,31,ACADM,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain",34.0,1
35,A_23_P65022,32,ACADS,"acyl-CoA dehydrogenase, C-2 to C-3 short chain",35.0,12
36,A_24_P189516,33,ACADSB,"acyl-CoA dehydrogenase, short/branched chain",36.0,10
37,A_23_P207650,34,ACADVL,"acyl-CoA dehydrogenase, very long chain",37.0,17
38,A_23_P24515,35,ACAT1,acetyl-CoA acetyltransferase 1,38.0,11
39,A_23_P31135,36,ACAT2,acetyl-CoA acetyltransferase 2,39.0,6
40,A_32_P159612,37,ACCN1,acid-sensing (proton-gated) ion channel 2,40.0,17
41,A_23_P204751,38,ACCN2,acid-sensing (proton-gated) ion channel 1,41.0,12
43,A_24_P60845,40,ACHE,acetylcholinesterase,43.0,7
47,A_23_P66787,44,ACLY,ATP citrate lyase,47.0,17
48,A_23_P9416,45,ACO1,"aconitase 1, soluble",48.0,9
49,A_32_P191262,46,ACR,acrosin,49.0,22
50,A_23_P103149,47,ACO2,"aconitase 2, mitochondrial",50.0,22
51,A_23_P206945,48,ACOX1,"acyl-CoA oxidase 1, palmitoyl",51.0,17
52,A_23_P56798,49,ACP1,"acid phosphatase 1, soluble",52.0,2
53,A_23_P138776,50,ACP2,"acid phosphatase 2, lysosomal",53.0,11
54,A_23_P142075,51,ACP5,"acid phosphatase 5, tartrate resistant",54.0,19
55,CUST_11152_PI416261804,52,ACPP,"acid phosphatase, prostate",55.0,3
56,A_23_P202894,53,ACRV1,acrosomal vesicle protein 1,56.0,11
58,A_23_P1102,55,ACTA1,"actin, alpha 1, skeletal muscle",58.0,1
59,A_23_P150053,56,ACTA2,"actin, alpha 2, smooth muscle, aorta",59.0,10
60,A_32_P137939,57,ACTB,"actin, beta",60.0,7
70,A_24_P121535,67,ACTC1,"actin, alpha, cardiac muscle 1",70.0,15
71,A_32_P175198,68,ACTG1,"actin, gamma 1",71.0,17
